Aenean                                   | Ocorrências: 2    | Letras: 6  | Vogais: 2
Aliquam                                  | Ocorrências: 2    | Letras: 7  | Vogais: 3
Class                                    | Ocorrências: 1    | Letras: 5  | Vogais: 1
Curabitur                                | Ocorrências: 4    | Letras: 9  | Vogais: 3
Donec                                    | Ocorrências: 4    | Letras: 5  | Vogais: 2
Etiam                                    | Ocorrências: 4    | Letras: 5  | Vogais: 3
Fusce                                    | Ocorrências: 1    | Letras: 5  | Vogais: 2
In                                       | Ocorrências: 1    | Letras: 2  | Vogais: 1
Integer                                  | Ocorrências: 4    | Letras: 7  | Vogais: 2
Lorem                                    | Ocorrências: 1    | Letras: 5  | Vogais: 2
Maecenas                                 | Ocorrências: 2    | Letras: 8  | Vogais: 2
Mauris                                   | Ocorrências: 2    | Letras: 6  | Vogais: 3
Morbi                                    | Ocorrências: 5    | Letras: 5  | Vogais: 2
Nam                                      | Ocorrências: 3    | Letras: 3  | Vogais: 1
Nulla                                    | Ocorrências: 3    | Letras: 5  | Vogais: 2
Nullam                                   | Ocorrências: 1    | Letras: 6  | Vogais: 2
Nunc                                     | Ocorrências: 3    | Letras: 4  | Vogais: 1
Orci                                     | Ocorrências: 1    | Letras: 4  | Vogais: 2
Phasellus                                | Ocorrências: 3    | Letras: 9  | Vogais: 3
Sed                                      | Ocorrências: 5    | Letras: 3  | Vogais: 1
Ut                                       | Ocorrências: 3    | Letras: 2  | Vogais: 1
Vestibulum                               | Ocorrências: 2    | Letras: 10 | Vogais: 3
Vivamus                                  | Ocorrências: 3    | Letras: 7  | Vogais: 3
a                                        | Ocorrências: 4    | Letras: 1  | Vogais: 1
ac                                       | Ocorrências: 4    | Letras: 2  | Vogais: 1
accumsan                                 | Ocorrências: 4    | Letras: 8  | Vogais: 2
ad                                       | Ocorrências: 1    | Letras: 2  | Vogais: 1
adipiscing                               | Ocorrências: 1    | Letras: 10 | Vogais: 2
aliquam                                  | Ocorrências: 2    | Letras: 7  | Vogais: 3
aliquet                                  | Ocorrências: 1    | Letras: 7  | Vogais: 4
amet                                     | Ocorrências: 8    | Letras: 4  | Vogais: 2
ante                                     | Ocorrências: 4    | Letras: 4  | Vogais: 2
aptent                                   | Ocorrências: 1    | Letras: 6  | Vogais: 2
arcu                                     | Ocorrências: 4    | Letras: 4  | Vogais: 2
at                                       | Ocorrências: 5    | Letras: 2  | Vogais: 1
auctor                                   | Ocorrências: 4    | Letras: 6  | Vogais: 3
augue                                    | Ocorrências: 3    | Letras: 5  | Vogais: 3
blandit                                  | Ocorrências: 2    | Letras: 7  | Vogais: 2
commodo                                  | Ocorrências: 1    | Letras: 7  | Vogais: 1
congue                                   | Ocorrências: 4    | Letras: 6  | Vogais: 3
consectetur                              | Ocorrências: 4    | Letras: 11 | Vogais: 3
conubia                                  | Ocorrências: 1    | Letras: 7  | Vogais: 4
cubilia                                  | Ocorrências: 2    | Letras: 7  | Vogais: 3
curae                                    | Ocorrências: 2    | Letras: 5  | Vogais: 3
cursus                                   | Ocorrências: 1    | Letras: 6  | Vogais: 1
dapibus                                  | Ocorrências: 5    | Letras: 7  | Vogais: 3
diam                                     | Ocorrências: 4    | Letras: 4  | Vogais: 2
dictum                                   | Ocorrências: 2    | Letras: 6  | Vogais: 2
dignissim                                | Ocorrências: 3    | Letras: 9  | Vogais: 1
dis                                      | Ocorrências: 1    | Letras: 3  | Vogais: 1
dolor                                    | Ocorrências: 6    | Letras: 5  | Vogais: 1
efficitur                                | Ocorrências: 1    | Letras: 9  | Vogais: 3
egestas                                  | Ocorrências: 4    | Letras: 7  | Vogais: 2
eget                                     | Ocorrências: 8    | Letras: 4  | Vogais: 1
eleifend                                 | Ocorrências: 2    | Letras: 8  | Vogais: 2
elit                                     | Ocorrências: 4    | Letras: 4  | Vogais: 2
enim                                     | Ocorrências: 3    | Letras: 4  | Vogais: 2
erat                                     | Ocorrências: 3    | Letras: 4  | Vogais: 2
eros                                     | Ocorrências: 2    | Letras: 4  | Vogais: 2
est                                      | Ocorrências: 2    | Letras: 3  | Vogais: 1
et                                       | Ocorrências: 8    | Letras: 2  | Vogais: 1
eu                                       | Ocorrências: 9    | Letras: 2  | Vogais: 2
euismod                                  | Ocorrências: 2    | Letras: 7  | Vogais: 4
faucibus                                 | Ocorrências: 5    | Letras: 8  | Vogais: 3
fermentum                                | Ocorrências: 2    | Letras: 9  | Vogais: 2
feugiat                                  | Ocorrências: 1    | Letras: 7  | Vogais: 4
finibus                                  | Ocorrências: 2    | Letras: 7  | Vogais: 2
fringilla                                | Ocorrências: 4    | Letras: 9  | Vogais: 2
gravida                                  | Ocorrências: 1    | Letras: 7  | Vogais: 2
hendrerit                                | Ocorrências: 3    | Letras: 9  | Vogais: 2
himenaeos                                | Ocorrências: 1    | Letras: 9  | Vogais: 4
id                                       | Ocorrências: 5    | Letras: 2  | Vogais: 1
imperdiet                                | Ocorrências: 3    | Letras: 9  | Vogais: 2
in                                       | Ocorrências: 10   | Letras: 2  | Vogais: 1
inceptos                                 | Ocorrências: 1    | Letras: 8  | Vogais: 3
interdum                                 | Ocorrências: 5    | Letras: 8  | Vogais: 3
ipsum                                    | Ocorrências: 6    | Letras: 5  | Vogais: 2
justo                                    | Ocorrências: 3    | Letras: 5  | Vogais: 2
lacinia                                  | Ocorrências: 1    | Letras: 7  | Vogais: 2
lacus                                    | Ocorrências: 5    | Letras: 5  | Vogais: 2
laoreet                                  | Ocorrências: 2    | Letras: 7  | Vogais: 3
lectus                                   | Ocorrências: 4    | Letras: 6  | Vogais: 2
leo                                      | Ocorrências: 6    | Letras: 3  | Vogais: 2
libero                                   | Ocorrências: 2    | Letras: 6  | Vogais: 3
ligula                                   | Ocorrências: 7    | Letras: 6  | Vogais: 3
litora                                   | Ocorrências: 1    | Letras: 6  | Vogais: 3
lobortis                                 | Ocorrências: 2    | Letras: 8  | Vogais: 2
lorem                                    | Ocorrências: 3    | Letras: 5  | Vogais: 2
luctus                                   | Ocorrências: 4    | Letras: 6  | Vogais: 1
magna                                    | Ocorrências: 2    | Letras: 5  | Vogais: 1
magnis                                   | Ocorrências: 1    | Letras: 6  | Vogais: 2
malesuada                                | Ocorrências: 1    | Letras: 9  | Vogais: 3
massa                                    | Ocorrências: 4    | Letras: 5  | Vogais: 1
mattis                                   | Ocorrências: 2    | Letras: 6  | Vogais: 2
mauris                                   | Ocorrências: 1    | Letras: 6  | Vogais: 3
maximus                                  | Ocorrências: 1    | Letras: 7  | Vogais: 3
mi                                       | Ocorrências: 2    | Letras: 2  | Vogais: 1
mollis                                   | Ocorrências: 2    | Letras: 6  | Vogais: 2
montes                                   | Ocorrências: 1    | Letras: 6  | Vogais: 2
mus                                      | Ocorrências: 1    | Letras: 3  | Vogais: 1
nascetur                                 | Ocorrências: 1    | Letras: 8  | Vogais: 3
natoque                                  | Ocorrências: 1    | Letras: 7  | Vogais: 4
nec                                      | Ocorrências: 7    | Letras: 3  | Vogais: 1
neque                                    | Ocorrências: 5    | Letras: 5  | Vogais: 2
nibh                                     | Ocorrências: 4    | Letras: 4  | Vogais: 1
nisi                                     | Ocorrências: 1    | Letras: 4  | Vogais: 1
nisl                                     | Ocorrências: 4    | Letras: 4  | Vogais: 1
non                                      | Ocorrências: 4    | Letras: 3  | Vogais: 1
nostra                                   | Ocorrências: 1    | Letras: 6  | Vogais: 2
nulla                                    | Ocorrências: 2    | Letras: 5  | Vogais: 2
nunc                                     | Ocorrências: 3    | Letras: 4  | Vogais: 1
odio                                     | Ocorrências: 5    | Letras: 4  | Vogais: 2
orci                                     | Ocorrências: 2    | Letras: 4  | Vogais: 2
ornare                                   | Ocorrências: 3    | Letras: 6  | Vogais: 3
parturient                               | Ocorrências: 1    | Letras: 10 | Vogais: 4
pellentesque                             | Ocorrências: 2    | Letras: 12 | Vogais: 2
penatibus                                | Ocorrências: 1    | Letras: 9  | Vogais: 4
per                                      | Ocorrências: 2    | Letras: 3  | Vogais: 1
pharetra                                 | Ocorrências: 5    | Letras: 8  | Vogais: 2
placerat                                 | Ocorrências: 2    | Letras: 8  | Vogais: 2
porta                                    | Ocorrências: 3    | Letras: 5  | Vogais: 2
porttitor                                | Ocorrências: 1    | Letras: 9  | Vogais: 2
posuere                                  | Ocorrências: 6    | Letras: 7  | Vogais: 3
pretium                                  | Ocorrências: 3    | Letras: 7  | Vogais: 3
primis                                   | Ocorrências: 2    | Letras: 6  | Vogais: 1
pulvinar                                 | Ocorrências: 2    | Letras: 8  | Vogais: 3
purus                                    | Ocorrências: 3    | Letras: 5  | Vogais: 1
quam                                     | Ocorrências: 2    | Letras: 4  | Vogais: 2
quis                                     | Ocorrências: 7    | Letras: 4  | Vogais: 2
rhoncus                                  | Ocorrências: 3    | Letras: 7  | Vogais: 2
ridiculus                                | Ocorrências: 1    | Letras: 9  | Vogais: 2
risus                                    | Ocorrências: 3    | Letras: 5  | Vogais: 2
rutrum                                   | Ocorrências: 3    | Letras: 6  | Vogais: 1
sagittis                                 | Ocorrências: 5    | Letras: 8  | Vogais: 2
sapien                                   | Ocorrências: 3    | Letras: 6  | Vogais: 3
scelerisque                              | Ocorrências: 3    | Letras: 11 | Vogais: 3
sed                                      | Ocorrências: 5    | Letras: 3  | Vogais: 1
sem                                      | Ocorrências: 6    | Letras: 3  | Vogais: 1
semper                                   | Ocorrências: 2    | Letras: 6  | Vogais: 1
sit                                      | Ocorrências: 8    | Letras: 3  | Vogais: 1
sociosqu                                 | Ocorrências: 1    | Letras: 8  | Vogais: 3
sodales                                  | Ocorrências: 3    | Letras: 7  | Vogais: 3
sollicitudin                             | Ocorrências: 3    | Letras: 12 | Vogais: 3
suscipit                                 | Ocorrências: 3    | Letras: 8  | Vogais: 2
taciti                                   | Ocorrências: 1    | Letras: 6  | Vogais: 2
tellus                                   | Ocorrências: 2    | Letras: 6  | Vogais: 2
tempor                                   | Ocorrências: 3    | Letras: 6  | Vogais: 2
tempus                                   | Ocorrências: 2    | Letras: 6  | Vogais: 2
tincidunt                                | Ocorrências: 6    | Letras: 9  | Vogais: 2
torquent                                 | Ocorrências: 1    | Letras: 8  | Vogais: 3
tortor                                   | Ocorrências: 3    | Letras: 6  | Vogais: 1
turpis                                   | Ocorrências: 4    | Letras: 6  | Vogais: 2
ullamcorper                              | Ocorrências: 2    | Letras: 11 | Vogais: 4
ultrices                                 | Ocorrências: 4    | Letras: 8  | Vogais: 3
ultricies                                | Ocorrências: 3    | Letras: 9  | Vogais: 3
urna                                     | Ocorrências: 2    | Letras: 4  | Vogais: 2
ut                                       | Ocorrências: 4    | Letras: 2  | Vogais: 1
varius                                   | Ocorrências: 5    | Letras: 6  | Vogais: 3
vehicula                                 | Ocorrências: 3    | Letras: 8  | Vogais: 4
vel                                      | Ocorrências: 5    | Letras: 3  | Vogais: 1
velit                                    | Ocorrências: 4    | Letras: 5  | Vogais: 2
venenatis                                | Ocorrências: 3    | Letras: 9  | Vogais: 3
vitae                                    | Ocorrências: 2    | Letras: 5  | Vogais: 3
viverra                                  | Ocorrências: 1    | Letras: 7  | Vogais: 3
volutpat                                 | Ocorrências: 1    | Letras: 8  | Vogais: 3
vulputate                                | Ocorrências: 3    | Letras: 9  | Vogais: 3
in 
10
pellentesque sollicitudin
penatibus 
a 
